files_cumulative,unique_chars,total_chars,entropy_bits,zipf_slope,zipf_r2
2710,4820,2646001,9.716315219169587,-2.272029704332913,0.8404497839676036
2720,4820,2655606,9.715359245886205,-2.2725953902114577,0.840529849065471
2730,4821,2664431,9.715094828982945,-2.2736512021824695,0.8405017444496148
2740,4829,2675445,9.71537887311637,-2.2758309978553033,0.8404116325440671
2750,4830,2686267,9.714309980998364,-2.276352922540621,0.8405005833060604
2760,4830,2692256,9.71479586874116,-2.2753135668699658,0.8406489845373243
2770,4830,2700295,9.714431329916044,-2.276140335674684,0.8405885344299131
2780,4833,2710657,9.715801889772434,-2.2756910690820447,0.8405206841221265
2790,4833,2718665,9.716287833338745,-2.276202841429616,0.8403372742516855
2800,4834,2726197,9.71626559974157,-2.277115084557926,0.8402994922332303
2810,4839,2735533,9.716718106154115,-2.277238921880687,0.8403724995512531
2820,4842,2748922,9.715618024666977,-2.2790829687776135,0.8404191636976396
2830,4842,2757857,9.715050953460645,-2.279869666570526,0.8404573764614094
2840,4843,2768860,9.714548001077802,-2.280750915117091,0.8403845407861298
2850,4845,2778912,9.715094496519503,-2.2812954058630037,0.8403591402949931
2860,4845,2790790,9.713724200881638,-2.282270528955361,0.8403341053658805
2870,4846,2797832,9.713537834874385,-2.283082452024575,0.8403027898449805
2880,4847,2808647,9.714069906524648,-2.2836433325132,0.8401769402416577
2890,4849,2816439,9.71501593166594,-2.2843153441729753,0.8399054991847663
2900,4852,2821590,9.714906292229154,-2.2853524290200022,0.8399023047760616
2910,4859,2835056,9.71608868300957,-2.285855245620817,0.8398341325799492
2920,4864,2842897,9.716766602507638,-2.286672265837471,0.8397674221363196
2930,4865,2851640,9.716711686586905,-2.2875987800680546,0.8396748526250717
2940,4866,2858414,9.716456068022671,-2.2882837060112213,0.8396198852722155
2950,4866,2866256,9.717087040508078,-2.28860772026813,0.8394349363867718
2960,4869,2876254,9.717419348751049,-2.2889701673571334,0.8394565800987509
2970,4870,2883774,9.717158226062454,-2.2883967187946492,0.8396950500744458
2980,4872,2894303,9.716758222900632,-2.2897726965469456,0.8396959806973916
2990,4873,2904797,9.716822633997507,-2.2893891023926334,0.8398563666853517
3000,4874,2909597,9.71683598308562,-2.2901364963811845,0.8397869297418111
3010,4881,2920705,9.717336292364521,-2.291558542678528,0.8397574414978543
3020,4881,2929400,9.716869420688644,-2.291809015736295,0.8397511818637771
3030,4883,2935786,9.716796397801556,-2.292508972414088,0.8396969593131146
3040,4883,2946356,9.716525799276836,-2.2934439426233997,0.8395899494995375
3050,4885,2955848,9.715758045583229,-2.2944141055852976,0.8396841271097996
3060,4887,2969221,9.716734260856521,-2.2950138988416415,0.8395407313730219
3070,4890,2983699,9.716772148070838,-2.2953544087285884,0.8395338887854243
3080,4895,2991620,9.717700934378753,-2.2952857560299917,0.8395851646838077
3090,4898,2998395,9.71809458408255,-2.296366055232389,0.8395337352903166
3100,4898,3004890,9.718231962339832,-2.296627921319057,0.8394734740935909
3110,4902,3014385,9.717665001349017,-2.298203045035827,0.8395049650102288
3120,4905,3022815,9.717932868160087,-2.2983260194484503,0.8394699827981948
3130,4908,3030917,9.71855631331846,-2.2975582966774177,0.8394598129295773
3140,4908,3037981,9.718412636204649,-2.2980733764180252,0.839458076719706
3150,4909,3048512,9.718657568247618,-2.2989282590559794,0.8393060786428255
3160,4909,3054807,9.718254618292221,-2.299420961545428,0.8393201062799456
3170,4909,3065612,9.718560933968336,-2.2998265248013205,0.8391562024173954
3180,4909,3077992,9.718034601834198,-2.3002507659457305,0.8391170766791002
3190,4912,3085756,9.718545163525873,-2.301663636899366,0.8389632453492041
3200,4913,3092690,9.71917631816947,-2.3017070497700565,0.8387649120570971
3210,4915,3100393,9.71990873557536,-2.3024398845585567,0.8386162422095498
3220,4916,3106210,9.720192382604731,-2.302753123760204,0.8384770441770033
3230,4918,3114113,9.720956236989108,-2.3029199045471738,0.8384663627222407
3240,4920,3123345,9.720871256671055,-2.3031005515737273,0.8385275045597882
3250,4924,3137448,9.721144105164207,-2.3043154621264144,0.8383558236325164
3260,4925,3152975,9.720943635456793,-2.3051051778754266,0.8383195307951229
3270,4926,3163674,9.72106254114523,-2.305553767678149,0.8382159099667217
3280,4927,3175106,9.722232743228002,-2.3054385116213236,0.8379520130252218
3290,4928,3187782,9.721293690631375,-2.3061586373137786,0.8380797133886673
3300,4929,3195643,9.72180001275799,-2.306737525132669,0.8380454048193973
3310,4932,3201416,9.722301782829833,-2.3070935056060162,0.8381150877616709
3320,4938,3210049,9.723578455306631,-2.3072251647948643,0.8380334439703323
3330,4938,3215872,9.723549899131262,-2.307375166943151,0.8380050053053912
3340,4943,3227055,9.723893258590639,-2.3084339530537776,0.837949498966404
3350,4946,3238404,9.723979839080519,-2.3088311928468888,0.8380302848508474
3360,4946,3248291,9.723957202453283,-2.3082998125719065,0.8381316217583895
3370,4947,3253479,9.724077038497821,-2.3086267202802118,0.838130502910527
3380,4947,3260073,9.724107925615135,-2.309162573059918,0.8380296950172513
3390,4947,3270384,9.723797634607603,-2.309848350530081,0.8379301961071014
3400,4951,3287304,9.722712292665095,-2.310926263057877,0.8379818115975747
3410,4952,3294158,9.723040524031724,-2.311469648096468,0.8379108167660434
3420,4952,3297795,9.722890195980195,-2.311821301665061,0.8378943098735022
3430,4953,3306682,9.723170239265752,-2.3124708328803742,0.837853354706786
3440,4956,3318432,9.722559890487421,-2.3142759314779098,0.8378300511309312
3450,4957,3329811,9.722750433353639,-2.315191762686655,0.8377231685687951
3460,4959,3343248,9.722744158673075,-2.315800875025375,0.8376474371155365
3470,4960,3353725,9.722126679978468,-2.316463063867218,0.8377366566537655
3480,4960,3362215,9.722181725536224,-2.3167164836239342,0.8375906792997722
3490,4962,3369147,9.72197308116932,-2.3178692150138738,0.8375403194984545
3500,4965,3380482,9.722739063829785,-2.318401766352111,0.8374913765001527
3510,4968,3393311,9.722092484104955,-2.319835520745034,0.83744316289471
3520,4969,3405106,9.722595452396762,-2.319930289212787,0.8374178861175547
3530,4972,3411422,9.723075905983114,-2.3203406061207454,0.83742530272532
3540,4973,3421149,9.7234135101641,-2.3202241962062438,0.8374607294475398
3550,4976,3430297,9.724586024732902,-2.319413736609295,0.8374592211010166
3560,4979,3445999,9.724465592633349,-2.3210869874505247,0.8374125254056545
3570,4979,3452656,9.72429783580986,-2.3215191204087606,0.8373555724002956
3580,4979,3460077,9.724179406525403,-2.321734403784254,0.837360515647114
3590,4979,3467658,9.724373783741212,-2.322086765390989,0.8372940632835544
3600,4982,3478185,9.725536741116965,-2.3219947698768983,0.8371729864803062
3610,4983,3491485,9.725464349169119,-2.3225215483609594,0.8370926817004869
3620,4983,3502252,9.72526373090086,-2.3231744377916907,0.8370346600613753
3630,4983,3508939,9.725180979841557,-2.3235357114346744,0.8369936230148866
