rank,char,frequency
1338,仓,1672
1339,罚,1671
1340,末,1670
1341,圳,1668
1342,尤,1658
1343,凤,1658
1344,死,1652
1345,迅,1652
1346,币,1646
1347,稻,1644
1348,陶,1644
1349,纵,1640
1350,晨,1615
1351,莫,1613
1352,跳,1604
1353,踏,1602
1354,敬,1601
1355,忘,1600
1356,拟,1599
1357,悟,1598
1358,弱,1597
1359,阻,1596
1360,辑,1596
1361,谐,1594
1362,拔,1586
1363,扫,1585
1364,梯,1578
1365,磨,1577
1366,添,1569
1367,厦,1569
1368,倒,1568
1369,曼,1567
1370,侧,1564
1371,胞,1563
1372,枝,1563
1373,黎,1561
1374,蔡,1558
1375,幼,1555
1376,寒,1554
1377,咖,1544
1378,净,1542
1379,暴,1541
1380,伸,1539
1381,扣,1532
1382,闭,1530
1383,渔,1528
1384,砖,1516
1385,旺,1511
1386,尝,1509
1387,恒,1505
1388,浸,1505
1389,宾,1503
1390,疑,1498
1391,肯,1497
1392,敌,1496
1393,氛,1492
1394,荡,1492
1395,叫,1483
1396,杜,1483
1397,巧,1480
1398,桑,1477
1399,鸣,1477
1400,句,1477
1401,岭,1472
1402,舒,1471
1403,盼,1467
1404,俊,1467
1405,崇,1466
1406,焕,1464
1407,伦,1464
1408,偏,1464
1409,耗,1464
1410,谱,1458
1411,坏,1452
1412,彼,1451
1413,辈,1451
1414,洗,1448
1415,卢,1448
1416,契,1446
1417,恢,1445
1418,饰,1444
1419,凭,1444
1420,刑,1443
1421,痛,1443
1422,耐,1442
1423,陵,1440
1424,摸,1440
1425,斤,1434
1426,涛,1427
1427,壤,1427
1428,衔,1427
1429,玛,1426
1430,啡,1425
1431,唯,1416
1432,晋,1416
1433,旁,1415
1434,私,1414
1435,奶,1412
1436,貌,1410
1437,殊,1410
1438,秦,1408
1439,佛,1408
1440,碍,1408
1441,毫,1407
1442,册,1405
1443,档,1400
1444,甲,1400
1445,琴,1399
1446,惊,1396
1447,贺,1392
1448,牙,1389
1449,仿,1389
1450,搞,1388
1451,哲,1387
1452,概,1385
1453,爆,1381
1454,漠,1380
1455,隔,1378
1456,旨,1378
1457,廊,1372
1458,辅,1372
1459,麻,1364
1460,凯,1363
1461,框,1362
1462,缘,1362
1463,仁,1359
1464,刷,1358
1465,菌,1358
1466,蔬,1356
1467,误,1355
1468,豆,1354
1469,倾,1353
1470,铸,1348
1471,瓜,1347
1472,桃,1346
1473,抱,1344
1474,燕,1344
1475,闹,1332
1476,朗,1331
1477,碑,1323
1478,摩,1320
1479,贝,1317
1480,誉,1313
1481,绣,1313
1482,戴,1313
1483,尖,1311
1484,凡,1310
1485,凌,1309
1486,恩,1309
1487,奏,1306
1488,匠,1305
1489,豪,1304
1490,埔,1304
1491,暑,1300
1492,男,1298
1493,魅,1295
1494,孔,1289
1495,硕,1280
1496,赖,1279
1497,聘,1270
1498,晰,1269
1499,荒,1269
1500,焊,1262
1501,耳,1255
1502,堆,1255
1503,桌,1254
1504,揭,1254
1505,奉,1252
1506,蓬,1249
1507,役,1248
1508,缅,1245
1509,搬,1242
1510,巷,1241
1511,脸,1240
1512,裂,1239
1513,秒,1238
1514,弃,1237
1515,裕,1235
1516,替,1234
1517,宪,1231
1518,懂,1231
1519,雕,1230
1520,剂,1227
1521,纯,1222
1522,旋,1222
1523,刀,1219
1524,券,1218
1525,骗,1216
1526,诈,1207
1527,粤,1206
1528,邦,1197
1529,谁,1195
1530,旦,1195
1531,酸,1193
1532,杯,1189
1533,斌,1186
1534,妈,1181
1535,吗,1180
1536,烧,1177
1537,肩,1175
1538,锅,1175
1539,柱,1175
1540,稿,1174
1541,伐,1172
1542,艳,1172
1543,桂,1168
1544,默,1164
1545,渝,1161
1546,症,1160
1547,浦,1159
1548,氏,1159
1549,薄,1157
1550,攀,1155
1551,描,1150
1552,卓,1148
1553,鸡,1147
1554,恶,1145
1555,遭,1140
1556,捕,1136
1557,液,1136
1558,扰,1135
1559,逻,1134
1560,迷,1134
1561,羊,1132
1562,刺,1131
1563,怕,1130
1564,亡,1129
1565,串,1129
1566,辟,1128
1567,姿,1128
1568,夯,1128
1569,糖,1126
1570,夺,1124
1571,鸿,1122
1572,蓄,1114
1573,曹,1112
1574,暨,1111
1575,滋,1109
1576,氢,1109
1577,艾,1106
1578,蛋,1102
1579,垃,1101
1580,霞,1099
1581,舍,1099
1582,圾,1099
1583,爷,1098
1584,陪,1097
1585,锻,1097
1586,尾,1093
1587,虎,1091
